hex_id,canonical_water_type,is_terrestrial_hex,land_fraction,hex_land_km2,mainland_fragment_km2,other_component_km2,land_subject_or_component_id,candidate_land_fragment_id,spain_safe_km2,portugal_safe_km2,spain_region_km2,portugal_region_km2,safe_interior_status,frontier_band_status,special_case_status,mixed_land_status,proposed_control_status,proposed_controller,basis,land_fragment_id,parent_hex_id,land_area_km2,land_fraction_of_hex,geometry_sha256,geometry_source,identity_algorithm_version
h6000_q-000449_r+000972,OCEAN,False,0.357194,6.285643,6.285643,0.0,hsub_european_mainland,lfr_8fe54f9527bb42,0.0,0.0,6.285643,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_8fe54f9527bb42,h6000_q-000449_r+000972,6.285643,1.0,5e186aa3a305d26a9956089e29317d4fe3b269eb6ca31a89a198ee1eb38b9c6d,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000449_r+001011,OCEAN,False,0.391064,6.599845,6.599845,0.0,hsub_european_mainland,lfr_ceee38a4f1c099,0.0,0.0,6.599845,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_ceee38a4f1c099,h6000_q-000449_r+001011,6.599845,1.0,b476898a79c3dc1dbce67498ab1f993ca01dc42f81bf328afbbe234864cb7a60,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000450_r+000972,OCEAN,False,0.429471,7.557793,7.557793,0.0,hsub_european_mainland,lfr_8f77a77609568d,0.0,0.0,7.557793,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_8f77a77609568d,h6000_q-000450_r+000972,7.557793,1.0,c4abc179bad391b2ee356ba4153a255cdaac538f813e245398f136d00d0af4a7,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000450_r+001013,OCEAN,False,0.295887,4.982362,4.982362,0.0,hsub_european_mainland,lfr_af1a4577f212ff,0.0,0.0,4.982362,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_af1a4577f212ff,h6000_q-000450_r+001013,4.982362,1.0,5be6eb0dc9a794bf51e1943c1277398c5d743c55bc14aac17fc872741574b972,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000451_r+000971,OCEAN,False,0.126188,2.22271,2.22271,0.0,hsub_european_mainland,lfr_32174f8bfc633b,0.0,0.0,2.22271,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_32174f8bfc633b,h6000_q-000451_r+000971,2.22271,1.0,c7831be3ba39588599e5d52c913b1a2de3ba9024a7790abe78c57482a7eab167,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000451_r+001015,OCEAN,False,0.340925,5.728263,5.728263,0.0,hsub_european_mainland,lfr_be8ff8a746ad93,0.0,0.0,0.688807,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_be8ff8a746ad93,h6000_q-000451_r+001015,5.728263,1.0,c95c150f321c8542d3de0fd24c15478bda1cfd0b796ef96cfe5b307246bcce75,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000452_r+000971,OCEAN,False,0.294771,5.19273,5.19226,0.00047,hsub_european_mainland,lfr_8a6178abfad125,0.0,0.0,5.19226,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_8a6178abfad125,h6000_q-000452_r+000971,5.19226,0.9999094888430556,c4cab1110dd9235358f894c952602e4238e55b9c06d9b412bc813d0a22b6d82a,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000453_r+000970,OCEAN,False,0.005143,0.090672,0.090672,0.0,hsub_european_mainland,lfr_8f638517dfb1fc,0.0,0.0,0.090672,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_8f638517dfb1fc,h6000_q-000453_r+000970,0.090672,1.0,3d17240eb7a774350d31d2da190789379a9cf7a332b7bfe355f2d3cf98163b1e,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000454_r+000906,OCEAN,False,0.422122,7.960312,7.960312,0.0,hsub_european_mainland,lfr_41ebd9df3accef,0.0,0.0,3.97984,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_41ebd9df3accef,h6000_q-000454_r+000906,7.960312,1.0,710c3d41998f640ec8673b5edeae1a7f2a5dc783eb7d2b5e75ca2433a462563a,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000454_r+000970,OCEAN,False,0.227424,4.010351,4.010351,0.0,hsub_european_mainland,lfr_df49f21b02b21f,0.0,0.0,4.010351,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_df49f21b02b21f,h6000_q-000454_r+000970,4.010351,1.0,583695903562d0f5d11c3d94d7f34192accb04b06ca88b4e3bccb7a41b6a693c,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000455_r+000907,OCEAN,False,0.152959,2.881766,2.881766,0.0,hsub_european_mainland,lfr_43c16b83b9587a,0.0,0.0,2.881766,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_43c16b83b9587a,h6000_q-000455_r+000907,2.881766,1.0,8702c8296cf33b2a29936b0c3f08928221cb6a8e74e1fb3c148daab244c8230f,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000455_r+000970,OCEAN,False,0.460154,8.115134,8.115134,0.0,hsub_european_mainland,lfr_f97592e5ea4cd5,0.0,0.0,8.115134,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_f97592e5ea4cd5,h6000_q-000455_r+000970,8.115134,1.0,41a415b3e16f14f5d714fcb75c24c7aeceb1cbbc6ddf9902c977fb85d4aec555,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000456_r+000908,OCEAN,False,0.020316,0.38238,0.38238,0.0,hsub_european_mainland,lfr_c8f2d871b46f6d,0.0,0.0,0.38238,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_c8f2d871b46f6d,h6000_q-000456_r+000908,0.38238,1.0,17edb48e1781a86c5f4e3c0c747bbc75cd13a1239c69d5eb07c01371c2a13a3f,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000457_r+000909,OCEAN,False,0.015088,0.283698,0.283698,0.0,hsub_european_mainland,lfr_8bb15e151178f1,0.0,0.0,0.283698,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_8bb15e151178f1,h6000_q-000457_r+000909,0.283698,1.0,ce39880c6be82e30299356d581b6a022535d47ae85239cb3a2c0e9a40df5da18,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000457_r+000969,OCEAN,False,0.115149,2.0326,2.0326,0.0,hsub_european_mainland,lfr_75237d459edf98,0.0,0.0,2.0326,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_75237d459edf98,h6000_q-000457_r+000969,2.0326,1.0,ad60d62ae3f90d503673b21b8b3c8f1346a0fff64ef09c095d1375274c9d443e,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000458_r+000910,OCEAN,False,0.009545,0.179286,0.179286,0.0,hsub_european_mainland,lfr_6177d6576e3923,0.0,0.0,0.179286,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_6177d6576e3923,h6000_q-000458_r+000910,0.179286,1.0,a8eafb606d6fb5783b83091a09f2e16612901ba8e5b2f1c44fdb7c5080748210,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000458_r+000968,OCEAN,False,0.062619,1.106421,1.106421,0.0,hsub_european_mainland,lfr_0e8f502f1b70cb,0.0,0.0,1.106421,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_0e8f502f1b70cb,h6000_q-000458_r+000968,1.106421,1.0,973ca08548b9eb7b44172ebe54f6890e59c30187229e987103dd15ac3705f785,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000459_r+000869,OCEAN,False,0.117503,2.298178,2.295337,0.002841,hsub_european_mainland,lfr_9bb36939bf2808,0.0,0.0,2.105889,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_9bb36939bf2808,h6000_q-000459_r+000869,2.295337,0.9987638033259391,e64c4386cdd40b446002071d26cd415936ba34fa17c76035c6e195413d8d4363,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000459_r+000911,OCEAN,False,0.055318,1.037918,1.037918,0.0,hsub_european_mainland,lfr_64abc50246fc87,0.0,0.0,1.037918,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_64abc50246fc87,h6000_q-000459_r+000911,1.037918,1.0,92b537fafc31c2fc350b4dc3804c59caf538201495e9a1651c17d24368a22038,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000459_r+000968,OCEAN,False,0.219394,3.877002,3.876153,0.000849,hsub_european_mainland,lfr_66e8917544b938,0.0,0.0,3.876153,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_66e8917544b938,h6000_q-000459_r+000968,3.876153,0.999781016362643,ad708a42b1beac5b9ecd8291e16720b9a406c09e4341b9bea9b3734a37997a7f,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000460_r+000868,OCEAN,False,0.365561,7.157649,7.157649,0.0,hsub_european_mainland,lfr_914a452ece6010,0.0,0.0,7.157649,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_914a452ece6010,h6000_q-000460_r+000868,7.157649,1.0,fc64e029321bfb059d50d69e2a3c67dc810ce2d515918468ba5cb473e2a0f4d3,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000460_r+000912,OCEAN,False,0.228661,4.28544,4.28544,0.0,hsub_european_mainland,lfr_8b69f3595f4612,0.0,0.0,4.28544,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_8b69f3595f4612,h6000_q-000460_r+000912,4.28544,1.0,a4c7834c2f864db075efa93cc94639d2617549e2c460883190f44ad04fd23282,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000460_r+000968,OCEAN,False,0.346924,6.13117,6.13117,0.0,hsub_european_mainland,lfr_e7036cb1db88de,0.0,0.0,6.13117,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_e7036cb1db88de,h6000_q-000460_r+000968,6.13117,1.0,6549c0cda068510929375b74968ad82903b8bb32f37f7a11806d7ff25ef3a063,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
h6000_q-000461_r+000914,OCEAN,False,0.248615,4.649626,4.649626,0.0,hsub_european_mainland,lfr_94db33bc551e07,0.0,0.0,0.72564,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND,lfr_94db33bc551e07,h6000_q-000461_r+000914,4.649626,1.0,975a51b49642e54892e38c06c24c5ca896d93ef6682a776e05f18a5c2c677f7e,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid
