rank_by_area,part_index,ground_area_km2,projected_area_km2,centroid_lon,centroid_lat,bbox_3857,anchors_contained_gb,anchors_contained_ie,named_identification,is_single_connected_component,stage_role,anchor_role,ownership_source,physical_source
20,412,148.3,427.7,-10.03744,53.96663,"[-1142001, 7146349, -1103657, 7175879]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
21,16027,121.3,383.7,-5.09919,55.83073,"[-581274, 7503205, -556715, 7543848]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
22,11097,107.1,360.1,-6.33483,57.00048,"[-719142, 7746823, -694446, 7772474]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
23,19116,120.1,281.1,-2.13281,49.21404,"[-250971, 6302482, -223799, 6319457]",,,Jersey,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
24,4138,77.7,267.5,-7.31139,57.44515,"[-825102, 7842064, -801254, 7861781]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
25,8155,79.0,258.7,-6.88585,56.50065,"[-779129, 7646590, -748438, 7669975]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
26,9009,74.3,244.8,-6.56059,56.62897,"[-747004, 7671260, -718115, 7697374]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
27,20552,89.6,229.8,0.83381,51.3976,"[80341, 6684240, 105853, 6700888]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
28,3112,67.4,226.4,-7.47838,56.97827,"[-843047, 7741517, -820998, 7772177]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
29,11971,62.4,214.4,-6.03936,57.40234,"[-677799, 7827495, -665500, 7864405]",,,,True,EXCLUDED_FROM_STAGE,IDENTITY_QA_ONLY_NOT_OWNERSHIP_SOURCE,HISTORICAL_EVIDENCE_BUNDLE,OSM coast-authority land polygons via the canonical Europe land cache
