run_id,region,overlay_unit_id,hex_id,intersection_area_km2,is_primary
geography_v1_3_islands_006r_20260809,bikini,isl_u_fd56b5787f2d,h6000_q+002945_r+000248,0.52127,False
geography_v1_3_islands_006r_20260809,bikini,isl_u_bf82309fc3f1,h6000_q+002940_r+000252,0.051608,False
geography_v1_3_islands_006r_20260809,bikini,isl_u_bf82309fc3f1,h6000_q+002940_r+000253,0.31036,False
geography_v1_3_islands_006r_20260809,bikini,isl_u_bf82309fc3f1,h6000_q+002941_r+000252,0.238672,False
geography_v1_3_islands_006r_20260809,bikini,isl_u_bf82309fc3f1,h6000_q+002942_r+000252,0.04638,False
geography_v1_3_islands_006r_20260809,bikini,isl_u_bf82309fc3f1,h6000_q+002943_r+000252,0.648549,True
geography_v1_3_islands_006r_20260809,aegean,isl_u_e1e9127a6dd2,h6000_q+000035_r+000865,2.369981,False
geography_v1_3_islands_006r_20260809,aegean,isl_u_e1e9127a6dd2,h6000_q+000035_r+000866,9.228134,False
geography_v1_3_islands_006r_20260809,aegean,isl_u_e1e9127a6dd2,h6000_q+000036_r+000864,2.521564,False
geography_v1_3_islands_006r_20260809,aegean,isl_u_e1e9127a6dd2,h6000_q+000036_r+000865,13.102822,True
geography_v1_3_islands_006r_20260809,aegean,isl_u_e1e9127a6dd2,h6000_q+000036_r+000866,0.119567,False
geography_v1_3_islands_006r_20260809,aegean,isl_u_e1e9127a6dd2,h6000_q+000037_r+000864,1.00571,False
geography_v1_3_islands_006r_20260809,aegean,isl_u_e1e9127a6dd2,h6000_q+000037_r+000865,0.157152,False
geography_v1_3_islands_006r_20260809,aegean,isl_u_e1e9127a6dd2,h6000_q+000038_r+000865,0.004866,False
geography_v1_3_islands_006r_20260809,aegean,isl_u_3accd69dbf0b,h6000_q+000036_r+000867,0.006364,False
geography_v1_3_islands_006r_20260809,aegean,isl_u_3accd69dbf0b,h6000_q+000036_r+000868,0.001945,False
geography_v1_3_islands_006r_20260809,aegean,isl_u_3accd69dbf0b,h6000_q+000039_r+000866,0.001038,False
geography_v1_3_islands_006r_20260809,aegean,isl_u_3accd69dbf0b,h6000_q+000039_r+000867,0.389371,False
geography_v1_3_islands_006r_20260809,aegean,isl_u_3accd69dbf0b,h6000_q+000040_r+000866,1.8308,True
geography_v1_3_islands_006r_20260809,aegean,isl_u_4080fb3eac60,h6000_q+000028_r+000866,2.7e-05,False
geography_v1_3_islands_006r_20260809,aegean,isl_u_4080fb3eac60,h6000_q+000028_r+000867,0.043099,False
geography_v1_3_islands_006r_20260809,aegean,isl_u_4080fb3eac60,h6000_q+000028_r+000868,0.002088,False
geography_v1_3_islands_006r_20260809,aegean,isl_u_4080fb3eac60,h6000_q+000029_r+000868,0.00053,False
geography_v1_3_islands_006r_20260809,aegean,isl_u_4080fb3eac60,h6000_q+000030_r+000866,0.766209,True
geography_v1_3_islands_006r_20260809,aegean,isl_u_4080fb3eac60,h6000_q+000031_r+000865,0.182218,False
geography_v1_3_islands_006r_20260809,aegean,isl_u_4080fb3eac60,h6000_q+000031_r+000866,0.085647,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_63172ce44925,h6000_q-001405_r+000399,0.001624,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_63172ce44925,h6000_q-001404_r+000399,0.010198,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_63172ce44925,h6000_q-001403_r+000398,0.296029,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_63172ce44925,h6000_q-001403_r+000399,0.517283,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_63172ce44925,h6000_q-001402_r+000399,1.109737,True
geography_v1_3_islands_006r_20260809,caribbean,isl_u_a5eb2d4b5882,h6000_q-001404_r+000402,1.379289,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_a5eb2d4b5882,h6000_q-001403_r+000402,1.696956,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_a5eb2d4b5882,h6000_q-001403_r+000403,0.204311,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_a5eb2d4b5882,h6000_q-001402_r+000402,8.393296,True
geography_v1_3_islands_006r_20260809,caribbean,isl_u_a5eb2d4b5882,h6000_q-001402_r+000403,0.021222,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_ff3b8e01f52e,h6000_q-001399_r+000403,4.185644,True
geography_v1_3_islands_006r_20260809,caribbean,isl_u_ff3b8e01f52e,h6000_q-001398_r+000401,0.30744,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_ff3b8e01f52e,h6000_q-001398_r+000402,0.042499,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_ff3b8e01f52e,h6000_q-001398_r+000403,0.931556,False
geography_v1_3_islands_006r_20260809,caribbean,isl_u_ff3b8e01f52e,h6000_q-001397_r+000400,0.939753,False
