run_id,variant,region,p_minimum_auto_preserve_area_km2,p_island_group_max_distance_km,p_island_group_max_diameter_km,p_minimum_significant_component_area_km2,p_minimum_largest_component_share,overlay_unit_count,group_count,micro_excluded_groups,preserved_ground_km2,excluded_ground_km2,required_overlay_hits,required_overlay_total,exact_catalogue_matches,catalogue_total,false_overlay_count
geography_v1_3_islands_006r_20260809,island_group_max_distance_km=3,fiji_dateline,0.5,3,20,0.05,0.2,5,25,0,71.924,1.015,0,0,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_distance_km=5,kanto,0.5,5,20,0.05,0.2,6,47,0,13.349,2.164,1,1,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_distance_km=5,wake,0.5,5,20,0.05,0.2,1,1,0,7.248,0.0,1,1,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_distance_km=5,midway,0.5,5,20,0.05,0.2,1,1,0,5.908,0.0,1,1,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_distance_km=5,malta,0.5,5,20,0.05,0.2,1,5,0,2.903,0.146,0,0,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_distance_km=5,litla_dimun,0.5,5,20,0.05,0.2,2,6,0,13.693,0.101,1,1,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_distance_km=5,bikini,0.5,5,20,0.05,0.2,4,5,0,6.828,0.42,1,1,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_distance_km=5,aegean,0.5,5,20,0.05,0.2,3,13,0,20.037,0.115,1,1,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_distance_km=5,caribbean,0.5,5,20,0.05,0.2,10,16,0,60.331,0.478,1,1,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_distance_km=5,norway_skerries,0.5,5,20,0.05,0.2,18,15,2,49.72,14.009,0,0,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_distance_km=5,fiji_dateline,0.5,5,20,0.05,0.2,4,19,0,71.978,0.961,0,0,1,1,0
geography_v1_3_islands_006r_20260809,island_group_max_diameter_km=10,kanto,0.5,10,10,0.05,0.2,6,56,0,13.245,2.268,1,1,1,1,0
