stage,sheet,metric_set,n,rms_km,p95_km,max_km,statistically_blind,used_for_production_uncertainty
MAPGEN-028,N,FIT_CONSTRAINT,13,10.269,17.612,20.367,NO,NO
MAPGEN-028,N,MODEL_SELECTION_HOLDOUT,4,6.066,7.567,7.616,NO,NO
MAPGEN-028,N,BLIND_VALIDATION,5,7.385,9.679,9.766,YES,NO
MAPGEN-028,S,FIT_CONSTRAINT,12,6.611,11.014,14.733,NO,NO
MAPGEN-028,S,MODEL_SELECTION_HOLDOUT,4,9.598,11.659,11.806,NO,NO
MAPGEN-028,S,BLIND_VALIDATION,4,7.959,13.133,14.428,YES,NO
MAPGEN-028,BOTH,ALL_NONFIT,17,7.828,12.331,14.428,NO,YES
