landmass,parent_hex_id,land_fragment_id,land_subject_or_component_id,land_area_km2,other_land_in_hex_km2,hex_total_land_km2,fragment_share_of_hex,other_land_share_of_hex,canonical_water_type,is_terrestrial_hex,whole_hex_assigned,outcome
Great Britain,h6000_q-000653_r+001268,lfr_b0f4631821d164,hsub_great_britain_main_island,0.486579444,1.73198389,2.218563334,0.2193,0.7807,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000868_r+001527,lfr_5118da3cf18d67,hsub_great_britain_main_island,0.653983958,2.127822055,2.781806013,0.2351,0.7649,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000654_r+001267,lfr_8d94434e3aa13c,hsub_great_britain_main_island,1.498879702,4.715559817,6.214439519,0.2412,0.7588,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000819_r+001450,lfr_195372beecde4a,hsub_great_britain_main_island,0.485436715,1.512742172,1.998178887,0.2429,0.7571,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000867_r+001537,lfr_b392c7f0dcb27f,hsub_great_britain_main_island,0.099791309,0.303885686,0.403676994,0.2472,0.7528,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000859_r+001555,lfr_c08af4a715d24f,hsub_great_britain_main_island,0.239904539,0.677993968,0.917898508,0.2614,0.7386,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000856_r+001501,lfr_ead10f6890b9a3,hsub_great_britain_main_island,0.878141503,2.368794319,3.246935823,0.2705,0.7295,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000753_r+001385,lfr_9be64eca9c4601,hsub_great_britain_main_island,1.292323471,3.420000926,4.712324397,0.2742,0.7258,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000836_r+001464,lfr_252a3711341a61,hsub_great_britain_main_island,0.879169945,2.325568283,3.204738228,0.2743,0.7257,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000756_r+001443,lfr_722fe7d076155a,hsub_great_britain_main_island,0.275560955,0.577528652,0.853089607,0.323,0.677,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000631_r+001289,lfr_3248dba8a353ea,hsub_great_britain_main_island,1.702404581,3.275333851,4.977738432,0.342,0.658,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000867_r+001526,lfr_b43c678e5bd29c,hsub_great_britain_main_island,0.805609109,1.539420603,2.345029712,0.3435,0.6565,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000720_r+001264,lfr_69892bd5dae86f,hsub_great_britain_main_island,0.002444178,0.004622649,0.007066827,0.3459,0.6541,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000669_r+001264,lfr_8370689dc5385d,hsub_great_britain_main_island,1.038691968,1.86746657,2.906158538,0.3574,0.6426,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000852_r+001486,lfr_29272d4ddb6c24,hsub_great_britain_main_island,1.457438734,2.349590787,3.807029521,0.3828,0.6172,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000869_r+001546,lfr_6584a7f60fbe98,hsub_great_britain_main_island,0.521457487,0.732481748,1.253939235,0.4159,0.5841,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000654_r+001343,lfr_574741a1c267c0,hsub_great_britain_main_island,0.484484575,0.569948912,1.054433487,0.4595,0.5405,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000869_r+001544,lfr_12145c3b2e5f58,hsub_great_britain_main_island,0.62621218,0.67220196,1.298414139,0.4823,0.5177,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000870_r+001559,lfr_85e1a41b19d55e,hsub_great_britain_main_island,0.02177315,0.020996556,0.042769706,0.5091,0.4909,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
