hex_id,hex_land_km2,great_britain_km2,ireland_km2,unaudited_other_km2,unaudited_share,control_status,winner,basis
h6000_q-000804_r+001505,18.25642909650421,18.25642909650421,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000804_r+001506,16.99704179327917,16.99704179327917,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000804_r+001507,9.107469075562477,9.107469075562477,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000804_r+001508,9.09087763245392,9.09087763245392,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000804_r+001509,9.07845884148407,9.07845884148407,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000804_r+001510,9.066053468074799,9.066053468074799,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000804_r+001511,9.05366150831604,9.05366150831604,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000804_r+001512,9.041282958415986,9.041282958415986,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000804_r+001513,9.028917814445496,9.028917814445496,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000804_r+001514,9.016566072460174,9.016566072460174,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000804_r+001515,9.004227728515625,9.004227728515625,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000804_r+001516,8.991902778587342,8.991902778587342,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000804_r+001517,8.979591218631745,8.979591218631745,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000804_r+001518,8.967293044589997,8.967293044589997,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000804_r+001519,8.955008252342225,8.955008252342225,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000804_r+001520,5.4586473457390765,5.4586473457390765,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000805_r+001299,9.62543121861373,0.0,9.621449886768577,0.003981331845153123,0.00041362633576914393,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000805_r+001300,11.968174289730072,0.0,11.968174289730072,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000805_r+001301,11.0025112053377,0.0,11.0025112053377,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000805_r+001302,7.532297493107741,0.0,7.532297493107741,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
