hex_id,canonical_water_type,is_terrestrial_hex,land_fraction,hex_land_km2,mainland_fragment_km2,other_component_km2,land_subject_or_component_id,candidate_land_fragment_id,spain_safe_km2,portugal_safe_km2,spain_region_km2,portugal_region_km2,safe_interior_status,frontier_band_status,special_case_status,mixed_land_status,proposed_control_status,proposed_controller,basis
h6000_q-000649_r+000973,OCEAN,False,0.053588,0.942128,0.942128,0.0,hsub_european_mainland,lfr_f8b4718c67eeee,0.0,0.0,0.0,0.942128,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000652_r+001039,OCEAN,False,0.137806,2.255623,2.242474,0.01315,hsub_european_mainland,lfr_330699ef483fa7,0.0,0.0,2.07128,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000653_r+001039,OCEAN,False,0.314304,5.144272,5.141077,0.003195,hsub_european_mainland,lfr_1859fdf30b41fd,0.0,0.0,5.141077,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000655_r+001040,OCEAN,False,0.168086,2.748019,2.748019,0.0,hsub_european_mainland,lfr_2e0a5f20805361,0.0,0.0,2.748019,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000656_r+001041,OCEAN,False,0.029581,0.48304,0.475829,0.007211,hsub_european_mainland,lfr_59995d08b84270,0.0,0.0,0.475829,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000657_r+001042,OCEAN,False,0.015517,0.253113,0.25224,0.000873,hsub_european_mainland,lfr_8a48b09ba9e9b7,0.0,0.0,0.25224,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000659_r+001043,OCEAN,False,0.119863,1.953208,1.953208,0.0,hsub_european_mainland,lfr_9277cc7e3f8ca4,0.0,0.0,1.893354,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000661_r+001002,OCEAN,False,0.395101,6.733703,6.692727,0.040976,hsub_european_mainland,lfr_a84e382b39b418,0.0,0.0,6.692727,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000662_r+001001,OCEAN,False,0.281049,4.794795,4.792737,0.002057,hsub_european_mainland,lfr_cce963451e23aa,0.0,0.0,4.792737,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000663_r+001000,OCEAN,False,0.085729,1.464259,1.464259,0.0,hsub_european_mainland,lfr_f5c9b1d4b79d84,0.0,0.0,0.493953,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
