hex_id,is_terrestrial_hex,hex_land_km2,spain_safe_km2,spain_region_km2,portugal_safe_km2,portugal_region_km2,safe_total_km2,unresolved_km2,control_status,winner,basis
h6000_q-000563_r+000875,True,19.44940938162613,0.0,19.44940938162613,0.0,0.0,0.0,19.44940938162613,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000876,True,19.430164710479737,0.0,19.430164710479737,0.0,0.0,0.0,19.430164710479737,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000877,True,19.41092296945572,0.0,19.41092296945572,0.0,0.0,0.0,19.41092296945572,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000878,True,19.39168420336914,0.0,19.39168420336914,0.0,0.0,0.0,19.39168420336914,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000879,True,19.37244845658493,0.0,19.37244845658493,0.0,0.0,0.0,19.37244845658493,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000880,True,19.353215773845672,0.0,19.353215773845672,0.0,0.0,0.0,19.353215773845672,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000881,True,19.333986199417115,0.0,18.881237456546664,0.0,0.0,0.0,19.333986199417115,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000882,True,19.31475977763176,0.0,7.384699779422104,0.0,0.0,0.0,19.31475977763176,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000890,True,19.161067180225373,0.0,11.506870581840158,0.0,0.0,0.0,19.161067180225373,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000891,True,19.141871108863832,0.0,19.141871108863832,0.0,0.0,0.0,19.141871108863832,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
