hex_id,is_terrestrial_hex,water_type,hex_land_km2,spain_safe_km2,portugal_safe_km2,portugal_v2_safe_km2,portugal_v3_safe_km2,winner,control_status,basis
h6000_q-000527_r+000872,True,NONE,19.50716052742386,19.50716052742386,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000528_r+000872,True,NONE,19.507160527435303,19.507160527435303,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000530_r+000873,True,NONE,19.48790733504486,19.48790733504486,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000528_r+000873,True,NONE,19.487907335042955,19.487907335042955,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000529_r+000873,True,NONE,19.487907335042955,19.487907335042955,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000530_r+000871,True,NONE,19.526416470165252,19.526416470165252,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000532_r+000872,True,NONE,19.507160527435303,19.507160527435303,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000531_r+000872,True,NONE,19.50716052742386,19.50716052742386,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000530_r+000872,True,NONE,19.507160527435303,19.507160527435303,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000531_r+000873,True,NONE,19.48790733504486,19.48790733504486,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000532_r+000873,True,NONE,19.487907335042955,19.487907335042955,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000532_r+000874,True,NONE,19.46865693805313,19.46865693805313,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000533_r+000874,True,NONE,19.468656938030243,19.468656938030243,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000531_r+000874,True,NONE,19.468656938030243,19.468656938030243,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000533_r+000875,True,NONE,19.44940938162613,6.551905985889435,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000527_r+000873,True,NONE,19.48790733504486,19.48790733504486,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
