landmass,land_subject_or_component_id,parent_hex_id,land_fragment_id,canonical_water_type,is_terrestrial_hex,land_area_km2,hex_total_land_km2,land_fraction_of_hex,other_land_in_hex_km2,geometry_sha256,contained_in_parent_hex,mixed_unaudited,geometry_source,identity_algorithm_version,in_mapgen024_gap_pool,production_decision
Iceland,hsub_iceland_main_island,h6000_q-001353_r+001840,lfr_5488814087b02a,OCEAN,False,0.511681174,0.511681174,0.090329,0.0,a09d5791b3b6709be31c2fe10babee1dd0d878516fb779ddee228488e20bc605,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001352_r+001840,lfr_ea66cc44bc1811,OCEAN,False,0.766146606,0.766146606,0.135239,0.0,82fa198990b1473538be5ef2e6abc166643a108724e67f2e4b18ccfce9e9cdff,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001351_r+001840,lfr_337edab99cd20f,OCEAN,False,2.146376406,2.146376406,0.378818,0.0,935d19ee8363a7f90b4443785e3360b6cb0d5bba22a00ad32083d943d570acc0,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001367_r+001842,lfr_4a232d03ece86e,OCEAN,False,2.759251208,2.759251208,0.488266,0.0,31ebe45ecd0fdb662014777b68fb028fab60f1bfbaebb7a4edd91bf36561d1d9,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001368_r+001843,lfr_c62daa717e5797,OCEAN,False,0.549094827,0.549094827,0.097308,0.0,e8360fff759bd4fb315bff15bbaad1ae941a0080add5d4bd6b873f54fcff6405,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001368_r+001844,lfr_bfa922e51c4df3,OCEAN,False,0.031704838,0.031704838,0.005622,0.0,d70213ac47d4ef0a57115c1a4fddf759807ebf0fe1d2054eb9f319bb9ce35164,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001367_r+001844,lfr_04296e725265d1,OCEAN,False,0.414305392,0.414305392,0.073495,0.0,019f7afbecd555605c9ee7a56033d31b974031c181748821372518e51fe7e8b1,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001362_r+001844,lfr_a97a2515001c15,OCEAN,False,2.624225684,2.624225684,0.465569,0.0,ad780d8e3db5c061ca1ec74bd8d101756b71d6f6d7752a3594659f0b46984046,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001361_r+001844,lfr_5032fb18b56e1c,OCEAN,False,0.822953543,0.822953543,0.145964,0.0,950ada21b830afa86dcba143abf28fa66d94283c2f7f22f48efd87a3ec10de98,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001366_r+001845,lfr_7cf5d1cff41426,OCEAN,False,2.160952087,2.160952087,0.383915,0.0,58f6134df543afec6eba5f5bb9cef55ef44d8feeaa03f20be5cc1353d5ec2603,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001364_r+001845,lfr_df71de146cfaa4,OCEAN,False,1.898408502,1.898408502,0.337315,0.0,ca4144a6354e5328a5786a7ed4bda0037fda5e4b3c94dcbf70a5f71cb44ce1cc,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001360_r+001845,lfr_6f852487ff546b,OCEAN,False,1.523181598,1.523181598,0.270584,0.0,6963a07e6aaa36c19b6922d550beba019a4255afeacca500fc5fe4bda594826f,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001365_r+001846,lfr_d035a53e5ed06e,OCEAN,False,0.019927643,0.019927643,0.003544,0.0,b535e71289ac640b3bba083df5a38f198f347e59052a2784ec87f074a5a3c7a3,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001355_r+001846,lfr_90acfecedcc3e0,OCEAN,False,1.447264472,1.456553025,0.259263,0.009288553,4753575b6db2237c2f6a94c5b7305706f0cd7b1ed6c0bb009285eb70a187ccbd,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001354_r+001846,lfr_847822b064e357,OCEAN,False,0.300267996,0.300267996,0.053439,0.0,6ed8a9b03971c4466dca62f22c83bee7a5949a4b0f8250dba93dcfe75d1b7df9,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001352_r+001846,lfr_6a2ffa1b27c4a2,OCEAN,False,1.483660187,1.483660187,0.264008,0.0,e61bfbfd60a718fea0044621164a7df0c24fe9a244afd5881cdb5d42d58a9912,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001359_r+001847,lfr_122a16ff6cf3a0,OCEAN,False,0.687675139,0.687675139,0.122502,0.0,e553efbfb721dc8400afde5e0c50285840b749742fab9836c22e10fff2f370df,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001358_r+001847,lfr_405dcd9a9b992b,OCEAN,False,0.686688919,0.686688919,0.122352,0.0,6822ff9a26be9bceaaea5edc5099590ca45700f00ad2328250a42a822186f0e1,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001356_r+001847,lfr_21316acb13a52f,OCEAN,False,1.16549855,1.16549855,0.207675,0.0,0d7475d2edab3f8b8169362cbf4113efb8ea9d4274c5f4c504bb998ff53d572b,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001352_r+001847,lfr_120b0313d572e1,OCEAN,False,2.521085221,2.521085221,0.449306,0.0,5a389c7b7cf4e19f6d15fa68df9538157282ccbf63f29eb2afc7e8bd8bcaa9c9,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001357_r+001848,lfr_253d28ccc1cd44,OCEAN,False,0.257223747,0.257223747,0.045892,0.0,ae524543c66ea0f590524292f736f6a6665a2a09a28c61645e972ec070492bae,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001355_r+001848,lfr_aa77d3bf2d306c,OCEAN,False,1.825675177,1.825675177,0.325934,0.0,6484c776a4c649b00dfb2b303ff34a1d9ba92b1a7971a90a90a06234e7461bc5,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001353_r+001848,lfr_a7edb2323dffb2,OCEAN,False,2.708419079,2.708419079,0.483541,0.0,a0a40318276c4fbcc6ef474bce000210fb7990a20b4ce9d9459c13a39c72fa76,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001352_r+001848,lfr_40416850816746,OCEAN,False,0.648240223,0.648240223,0.115693,0.0,1657c39f7546a97ba233a0b8af92812ae69051cd08fc6921bd7a08fa907d021f,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001353_r+001849,lfr_c056d740150dd1,OCEAN,False,1.598698439,1.598698439,0.285843,0.0,7214318d14f49ae792cb5e357ee56f71e74132376f120753e15b4307d39e7fa3,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001352_r+001849,lfr_f2557a35569989,OCEAN,False,1.295923817,1.295923817,0.231624,0.0,83640ca6014a01665a447e18220d4258332aefefde6bcdb0d210bd160d509613,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001350_r+001849,lfr_d2f20d36bad8d3,OCEAN,False,2.230265131,2.244791872,0.401224,0.014526742,599a50b63cd1eada0e34f122a58b06c8dbe504be6a2dc899c0e6771820d5c543,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
Iceland,hsub_iceland_main_island,h6000_q-001355_r+001850,lfr_98f14f85cfaf06,OCEAN,False,0.738765096,0.738765096,0.132188,0.0,4e1525fb315106684000a04b4dcae74ee033cdbafe46126f9062370ced3f2c8a,True,False,"canonical hex polygon INTERSECT canonical OSM land component, unioned inside the hex (overlap-safe)",v1_sha1_hexid_pipe_subjectid,True,ACCEPTED
